Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
embtoolkit,"8,256,603",,"8,094,129.55",98.03,,,"8,207,893.25",99.41,,,"8,116,841.95",98.31,,,"8,217,829.65",99.53,,,"8,123,705.60",98.39,,,"8,220,226.15",99.56,,,"8,134,394.60",98.52,,,"8,223,012.70",99.59,,,"8,137,362.30",98.56,,,"8,223,764.25",99.6
excalibur_arm9,"2,811,553",,"2,799,937.25",99.59,,,"2,810,599.95",99.97,,,"2,804,861.45",99.76,,,"2,811,281.20",99.99,,,"2,806,002.45",99.8,,,"2,811,400.15",99.99,,,"2,808,189.70",99.88,,,"2,811,515.65",100,,,"2,808,800.75",99.9,,,"2,811,528.35",100
fads,"2,616,878",,"2,608,227.40",99.67,,,"2,615,981.95",99.97,,,"2,611,900.90",99.81,,,"2,616,635.45",99.99,,,"2,613,110.40",99.86,,,"2,616,728.70",99.99,,,"2,614,701.90",99.92,,,"2,616,841.90",100,,,"2,615,192.50",99.94,,,"2,616,853.75",100
financial,"917,150",,"705,779.90",76.95,,,"904,069.00",98.57,,,"710,825.80",77.5,,,"909,185.35",99.13,,,"712,098.30",77.64,,,"909,548.80",99.17,,,"715,324.20",77.99,,,"910,173.65",99.24,,,"716,954.70",78.17,,,"910,384.85",99.26
flexanet,"2,993,782",,"2,982,156.05",99.61,,,"2,992,561.30",99.96,,,"2,987,177.15",99.78,,,"2,993,363.95",99.99,,,"2,988,440.80",99.82,,,"2,993,540.20",99.99,,,"2,990,520.80",99.89,,,"2,993,718.65",100,,,"2,991,116.45",99.91,,,"2,993,735.35",100
freebsd-icse11,"3,765,597",,"3,724,364.95",98.91,,,"3,742,366.45",99.38,,,"3,732,346.25",99.12,,,"3,745,768.80",99.47,,,"3,734,605.40",99.18,,,"3,746,891.50",99.5,,,"3,739,851.50",99.32,,,"3,750,529.95",99.6,,,"3,741,882.45",99.37,,,"3,751,967.05",99.64
frv400,"2,877,936",,"2,867,161.65",99.63,,,"2,876,651.95",99.96,,,"2,871,559.80",99.78,,,"2,877,535.95",99.99,,,"2,873,150.95",99.83,,,"2,877,709.85",99.99,,,"2,875,009.50",99.9,,,"2,877,872.45",100,,,"2,875,524.90",99.92,,,"2,877,900.05",100
gps4020,"2,717,800",,"2,708,144.65",99.64,,,"2,716,801.20",99.96,,,"2,712,283.05",99.8,,,"2,717,479.25",99.99,,,"2,713,598.10",99.85,,,"2,717,632.45",99.99,,,"2,715,363.30",99.91,,,"2,717,753.65",100,,,"2,715,855.15",99.93,,,"2,717,774.30",100
grg,"2,874,004",,"2,863,772.50",99.64,,,"2,872,838.90",99.96,,,"2,868,139.95",99.8,,,"2,873,634.80",99.99,,,"2,869,485.30",99.84,,,"2,873,817.30",99.99,,,"2,871,273.80",99.91,,,"2,873,952.05",100,,,"2,871,784.85",99.92,,,"2,873,970.50",100
h8300h_sim,"2,580,312",,"2,572,087.35",99.68,,,"2,579,358.35",99.96,,,"2,575,682.90",99.82,,,"2,580,043.95",99.99,,,"2,576,741.90",99.86,,,"2,580,163.55",99.99,,,"2,578,287.35",99.92,,,"2,580,274.95",100,,,"2,578,700.20",99.94,,,"2,580,290.10",100
h8max,"2,701,971",,"2,692,416.70",99.65,,,"2,700,931.30",99.96,,,"2,696,366.55",99.79,,,"2,701,677.60",99.99,,,"2,697,541.85",99.84,,,"2,701,797.00",99.99,,,"2,699,325.55",99.9,,,"2,701,933.20",100,,,"2,699,908.90",99.92,,,"2,701,944.60",100
h8s_sim,"2,584,875",,"2,576,533.20",99.68,,,"2,583,967.50",99.96,,,"2,580,274.90",99.82,,,"2,584,631.95",99.99,,,"2,581,214.05",99.86,,,"2,584,729.20",99.99,,,"2,582,816.65",99.92,,,"2,584,838.95",100,,,"2,583,240.10",99.94,,,"2,584,853.10",100
hs7729pci,"3,150,211",,"3,133,529.45",99.47,,,"3,149,027.85",99.96,,,"3,140,169.90",99.68,,,"3,149,869.90",99.99,,,"3,141,987.45",99.74,,,"3,149,968.50",99.99,,,"3,144,904.00",99.83,,,"3,150,160.85",100,,,"3,145,734.75",99.86,,,"3,150,179.65",100
innovator,"2,951,515",,"2,936,997.95",99.51,,,"2,950,435.60",99.96,,,"2,942,669.55",99.7,,,"2,951,077.20",99.99,,,"2,944,355.30",99.76,,,"2,951,320.05",99.99,,,"2,946,828.10",99.84,,,"2,951,455.15",100,,,"2,947,716.70",99.87,,,"2,951,483.75",100
integrator_arm7,"2,957,100",,"2,945,680.50",99.61,,,"2,955,880.95",99.96,,,"2,950,889.85",99.79,,,"2,956,659.30",99.99,,,"2,951,971.90",99.83,,,"2,956,901.75",99.99,,,"2,954,128.70",99.9,,,"2,957,042.30",100,,,"2,954,595.30",99.92,,,"2,957,061.80",100
integrator_arm9,"2,998,857",,"2,986,429.25",99.59,,,"2,997,584.20",99.96,,,"2,990,936.95",99.74,,,"2,998,480.70",99.99,,,"2,992,863.65",99.8,,,"2,998,648.15",99.99,,,"2,995,009.05",99.87,,,"2,998,801.85",100,,,"2,995,684.05",99.89,,,"2,998,825.20",100
ipaq,"2,897,450",,"2,887,359.85",99.65,,,"2,896,278.85",99.96,,,"2,891,629.05",99.8,,,"2,897,147.35",99.99,,,"2,892,991.90",99.85,,,"2,897,238.25",99.99,,,"2,894,805.30",99.91,,,"2,897,394.05",100,,,"2,895,324.00",99.93,,,"2,897,415.55",100
iq80310,"2,960,510",,"2,949,940.25",99.64,,,"2,959,330.00",99.96,,,"2,954,286.10",99.79,,,"2,960,088.35",99.99,,,"2,955,691.00",99.84,,,"2,960,296.60",99.99,,,"2,957,663.85",99.9,,,"2,960,452.95",100,,,"2,958,170.75",99.92,,,"2,960,469.25",100
iq80321,"2,950,754",,"2,940,174.10",99.64,,,"2,949,500.85",99.96,,,"2,944,646.05",99.79,,,"2,950,358.50",99.99,,,"2,945,983.60",99.84,,,"2,950,537.70",99.99,,,"2,947,949.85",99.9,,,"2,950,692.20",100,,,"2,948,401.90",99.92,,,"2,950,715.05",100
ixdp425,"2,902,858",,"2,892,642.05",99.65,,,"2,901,536.85",99.95,,,"2,896,917.30",99.8,,,"2,902,500.00",99.99,,,"2,898,123.65",99.84,,,"2,902,631.85",99.99,,,"2,900,072.90",99.9,,,"2,902,801.15",100,,,"2,900,653.80",99.92,,,"2,902,822.45",100
jmr3904,"2,664,287",,"2,654,652.95",99.64,,,"2,663,332.15",99.96,,,"2,658,647.70",99.79,,,"2,663,973.35",99.99,,,"2,660,141.65",99.84,,,"2,664,132.45",99.99,,,"2,661,961.45",99.91,,,"2,664,240.90",100,,,"2,662,405.25",99.93,,,"2,664,262.65",100
jtst,"2,849,989",,"2,840,174.20",99.66,,,"2,848,972.10",99.96,,,"2,844,318.80",99.8,,,"2,849,658.70",99.99,,,"2,845,648.20",99.85,,,"2,849,803.60",99.99,,,"2,847,419.95",99.91,,,"2,849,942.60",100,,,"2,847,906.55",99.93,,,"2,849,959.85",100
linux,"2,797,796",,"2,786,990.95",99.61,,,"2,796,656.15",99.96,,,"2,791,496.75",99.77,,,"2,797,441.65",99.99,,,"2,792,832.00",99.82,,,"2,797,612.65",99.99,,,"2,794,711.60",99.89,,,"2,797,737.75",100,,,"2,795,266.55",99.91,,,"2,797,765.50",100
lpcmt,"2,887,921",,"2,877,965.30",99.66,,,"2,886,911.60",99.97,,,"2,882,337.15",99.81,,,"2,887,660.75",99.99,,,"2,883,612.25",99.85,,,"2,887,769.50",99.99,,,"2,885,553.00",99.92,,,"2,887,878.50",100,,,"2,885,999.65",99.93,,,"2,887,892.60",100
m5272c3,"3,277,333",,"3,265,098.75",99.63,,,"3,276,256.25",99.97,,,"3,270,431.05",99.79,,,"3,277,049.65",99.99,,,"3,271,724.50",99.83,,,"3,277,192.40",100,,,"3,274,096.80",99.9,,,"3,277,296.10",100,,,"3,274,620.70",99.92,,,"3,277,313.60",100
mac7100evb,"2,817,536",,"2,807,921.20",99.66,,,"2,816,501.05",99.96,,,"2,811,974.95",99.8,,,"2,817,172.75",99.99,,,"2,813,299.45",99.85,,,"2,817,345.80",99.99,,,"2,815,007.75",99.91,,,"2,817,485.90",100,,,"2,815,512.40",99.93,,,"2,817,504.70",100
mace1,"2,817,536",,"2,807,941.65",99.66,,,"2,816,376.15",99.96,,,"2,812,098.05",99.81,,,"2,817,200.75",99.99,,,"2,813,186.00",99.85,,,"2,817,343.50",99.99,,,"2,814,998.55",99.91,,,"2,817,486.80",100,,,"2,815,528.85",99.93,,,"2,817,506.55",100
malta_mips32_4kc,"2,837,755",,"2,826,515.00",99.6,,,"2,836,640.05",99.96,,,"2,831,484.85",99.78,,,"2,837,388.30",99.99,,,"2,832,592.25",99.82,,,"2,837,535.70",99.99,,,"2,834,523.75",99.89,,,"2,837,690.60",100,,,"2,835,170.00",99.91,,,"2,837,713.95",100
malta_mips64_5kc,"2,837,834",,"2,826,626.95",99.61,,,"2,836,531.25",99.95,,,"2,831,396.65",99.77,,,"2,837,419.20",99.99,,,"2,832,562.65",99.81,,,"2,837,602.40",99.99,,,"2,834,673.95",99.89,,,"2,837,766.25",100,,,"2,835,296.30",99.91,,,"2,837,795.90",100
mb93091,"2,928,306",,"2,917,046.10",99.62,,,"2,927,017.75",99.96,,,"2,921,986.25",99.78,,,"2,927,882.10",99.99,,,"2,923,058.05",99.82,,,"2,928,068.30",99.99,,,"2,925,078.55",99.89,,,"2,928,240.45",100,,,"2,925,738.60",99.91,,,"2,928,266.10",100
mb93093,"2,839,740",,"2,829,464.90",99.64,,,"2,838,579.50",99.96,,,"2,833,646.85",99.79,,,"2,839,370.75",99.99,,,"2,834,859.50",99.83,,,"2,839,492.95",99.99,,,"2,836,903.55",99.9,,,"2,839,684.35",100,,,"2,837,367.40",99.92,,,"2,839,711.45",100
mbx,"3,152,444",,"3,139,511.90",99.59,,,"3,150,981.20",99.95,,,"3,145,176.55",99.77,,,"3,151,927.45",99.98,,,"3,146,770.75",99.82,,,"3,152,192.05",99.99,,,"3,149,059.55",99.89,,,"3,152,380.55",100,,,"3,149,719.35",99.91,,,"3,152,401.15",100
mcb2100,"2,887,921",,"2,878,356.75",99.67,,,"2,887,050.65",99.97,,,"2,882,434.40",99.81,,,"2,887,640.80",99.99,,,"2,883,667.10",99.85,,,"2,887,774.90",99.99,,,"2,885,497.70",99.92,,,"2,887,874.35",100,,,"2,885,967.05",99.93,,,"2,887,894.55",100
